id,first_name,last_name,email,phone,country,city,postcode,is_active,customer_tier,total_spent,has_newsletter,created_at,updated_at
1,Danielle,Johnson,john21@example.net,001-581-896-0013x389,United States,Austin,46048,True,casual,524.1,False,2023-01-31 20:27:37,
2,Jeffrey,Lawrence,blakeerik@example.com,942-335-1161x55940,Netherlands,Amsterdam,1488 CG,True,new,75.8,True,2022-12-24 20:27:13,
3,Teresa,Gray,maria95@example.net,610.934.1316,Germany,Frankfurt,87236,True,new,121.41,True,2023-05-15 07:24:09,
4,Cynthia,Diaz,michael41@example.net,+1-228-732-7648x3503,France,Lyon,54118,True,new,13.91,True,2021-11-14 13:21:02,
5,Richard,Jones,jason76@example.net,724.523.8849x696,Spain,Bilbao,18180,True,loyal,2169.8,True,2024-03-22 01:34:09,
6,Wendy,Taylor,ddavis@example.org,(626)291-6697,Germany,Stuttgart,19116,True,new,99.19,False,2021-05-23 08:54:49,
7,Erin,Wilson,kayla51@example.com,(727)404-8281x48932,Netherlands,The Hague,8428 XM,True,loyal,4646.54,True,2022-05-21 08:22:06,
8,Amber,Osborne,georgetracy@example.org,(443)903-9117x182,France,Bordeaux,42087,True,casual,978.29,True,2022-05-23 16:10:22,
9,Stacey,Martin,ibrandt@example.net,001-734-265-7871x331,Canada,Toronto,K0N 6L1,True,new,136.97,False,2022-10-18 12:01:14,
10,Brianna,Hall,adrianzimmerman@example.org,510.451.8347,Spain,Barcelona,27359,True,new,36.99,False,2022-03-10 19:35:29,
11,Jennifer,Khan,esanchez@example.com,311.265.6670,Netherlands,The Hague,4593 ET,True,loyal,2272.73,True,2025-03-14 07:12:29,
12,Richard,Morgan,wrightjames@example.com,(362)247-3178,Netherlands,Eindhoven,2040 NN,False,casual,1105.32,False,2024-12-25 04:19:44,
13,Denise,Fernandez,novaksara@example.org,(267)873-6026,Australia,Brisbane,2913,True,casual,926.05,True,2023-07-01 20:57:20,
14,Joseph,Bowers,smitchell@example.net,+1-272-734-3098,France,Bordeaux,23947,True,new,126.25,False,2023-07-17 05:39:22,
15,Brian,Silva,brianromero@example.org,291-336-1939,United States,Seattle,52487,True,new,2.92,False,2025-02-27 01:04:56,
16,Robert,Silva,sarah35@example.org,362-547-5107x991,United States,Los Angeles,84364,True,new,12.85,False,2021-09-02 16:33:04,
17,William,Anderson,nicole35@example.com,(378)449-8084,France,Lille,72296,True,casual,603.61,False,2022-05-29 00:45:30,
18,Joseph,Preston,josephjacobs@example.net,634-487-4016x40052,Germany,Stuttgart,50857,True,new,149.27,False,2024-05-24 15:01:19,
19,Joyce,Arnold,hhoffman@example.org,001-728-205-9826x204,Germany,Berlin,54313,True,new,88.25,True,2021-03-07 08:25:41,
20,Rachel,Clark,elizabethgomez@example.net,(392)832-2602x56342,Germany,Berlin,14117,True,casual,234.63,True,2023-10-24 14:32:03,
